[2026-06-28T18:30:57.072Z] cYitZRiAYpohYQO3AAAB Aventureiro-h4dl -> loginAccount {"login":"GM","password":"***"}
[2026-06-28T18:31:50.951Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:51.277Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:51.443Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:51.601Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:51.775Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:51.954Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:32:04.022Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> acceptEquipSuggestion {"itemId":"mago_anel_2_1782671519055_7000585f925248"}
[2026-06-28T18:32:07.652Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> saveNow <unserializable>
[2026-06-28T18:32:27.659Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> saveNow <unserializable>
[2026-06-28T18:32:47.659Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> saveNow <unserializable>
[2026-06-28T18:33:00.564Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> acceptEquipSuggestion {"itemId":"mago_anel_2_1782671577598_41a73f631b8758"}
[2026-06-28T18:33:07.672Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> saveNow <unserializable>
